epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.8377,1.05506,3.12796,1.33643,0.03909,0.99206,0.25207,0.17315,0.83674,3.68637,1.07387,0.000297776,0.000297776,0.000297776
2,86.392,0.88869,2.24385,1.20769,0.23256,0.72121,0.30973,0.18859,1.63065,2.92203,1.99461,0.000588881,0.000588881,0.000588881
3,110.247,0.89311,1.93801,1.19422,0.23653,0.77789,0.39708,0.30553,0.93739,2.36862,1.32735,0.000867986,0.000867986,0.000867986
4,142.083,0.87141,1.78771,1.17741,0.29554,0.68203,0.40834,0.2576,1.20043,2.94059,1.33197,0.000855005,0.000855005,0.000855005
5,164.617,0.81805,1.69304,1.1555,0.31261,0.76888,0.47584,0.35244,0.97363,2.18524,1.23637,0.000837007,0.000837007,0.000837007
6,186.266,0.83669,1.61926,1.15113,0.34956,0.64582,0.48583,0.34177,0.93095,2.07196,1.08374,0.000819009,0.000819009,0.000819009
7,210.541,0.80461,1.57605,1.13296,0.33726,0.78848,0.48633,0.37159,0.88631,1.86982,1.19116,0.000801011,0.000801011,0.000801011
8,232.231,0.77177,1.52539,1.12436,0.31751,0.65392,0.45944,0.34879,0.87739,1.91084,1.06426,0.000783013,0.000783013,0.000783013
9,255.517,0.78767,1.45664,1.12267,0.3711,0.78202,0.47551,0.33682,1.17515,1.92377,1.45905,0.000765014,0.000765014,0.000765014
10,277.7,0.76679,1.43492,1.10691,0.38944,0.7604,0.55851,0.43673,0.93265,1.72744,1.14937,0.000747016,0.000747016,0.000747016
11,299.275,0.79542,1.39517,1.11439,0.39862,0.70422,0.59383,0.47444,0.79545,1.59784,0.9575,0.000729018,0.000729018,0.000729018
12,322.943,0.7902,1.37858,1.11264,0.41114,0.68924,0.55895,0.44239,0.76119,1.57253,0.97247,0.00071102,0.00071102,0.00071102
13,344.512,0.76348,1.34543,1.11498,0.47021,0.71502,0.62319,0.48873,0.83139,1.58465,0.99555,0.000693022,0.000693022,0.000693022
14,366.813,0.75603,1.30401,1.09942,0.54462,0.63721,0.63525,0.52737,0.75703,1.3871,0.95775,0.000675023,0.000675023,0.000675023
15,389.963,0.77327,1.30154,1.10949,0.54983,0.61225,0.63565,0.52514,0.74416,1.41658,0.97753,0.000657025,0.000657025,0.000657025
16,411.891,0.73758,1.26785,1.09832,0.60443,0.6997,0.66924,0.55647,0.75731,1.26736,0.95983,0.000639027,0.000639027,0.000639027
17,435.96,0.72904,1.25457,1.09863,0.48773,0.73988,0.63901,0.52532,0.74206,1.38719,0.97461,0.000621029,0.000621029,0.000621029
18,457.926,0.74706,1.24313,1.09745,0.53357,0.69052,0.65758,0.53811,0.763,1.24349,0.95965,0.000603031,0.000603031,0.000603031
19,480.103,0.73412,1.20015,1.08657,0.54247,0.65798,0.6391,0.53081,0.75953,1.27295,0.98814,0.000585032,0.000585032,0.000585032
20,503.223,0.72955,1.18872,1.09906,0.5677,0.68242,0.6635,0.53616,0.80078,1.24549,1.01468,0.000567034,0.000567034,0.000567034
21,524.87,0.71818,1.17925,1.08784,0.57151,0.6806,0.65893,0.54152,0.72832,1.27587,0.92841,0.000549036,0.000549036,0.000549036
22,549.611,0.73395,1.15895,1.09121,0.55117,0.7312,0.67762,0.56155,0.7449,1.22538,0.97643,0.000531038,0.000531038,0.000531038
23,570.933,0.73498,1.1579,1.09164,0.55634,0.74939,0.67921,0.55548,0.7649,1.17406,0.96375,0.00051304,0.00051304,0.00051304
24,593.122,0.73367,1.1456,1.08061,0.57949,0.72982,0.69633,0.57468,0.72166,1.09432,0.93495,0.000495041,0.000495041,0.000495041
25,616.665,0.67468,1.11654,1.08156,0.60156,0.69699,0.6951,0.56178,0.77122,1.17247,0.97754,0.000477043,0.000477043,0.000477043
26,638.472,0.69382,1.09883,1.0747,0.61552,0.72702,0.69491,0.56339,0.73972,1.18975,0.97153,0.000459045,0.000459045,0.000459045
27,662.957,0.70527,1.10578,1.082,0.60105,0.6889,0.69524,0.56947,0.74835,1.1103,0.96163,0.000441047,0.000441047,0.000441047
28,684.73,0.70458,1.08036,1.07559,0.60829,0.72287,0.70242,0.58475,0.73125,1.12342,0.93915,0.000423049,0.000423049,0.000423049
29,707.135,0.68754,1.05817,1.07245,0.6444,0.6908,0.70778,0.58919,0.72055,1.06182,0.93432,0.00040505,0.00040505,0.00040505
30,730.505,0.67975,1.07732,1.07777,0.64197,0.73059,0.72253,0.60221,0.71414,1.01623,0.93223,0.000387052,0.000387052,0.000387052
31,752.436,0.70502,1.05755,1.08195,0.57053,0.69133,0.69556,0.57943,0.7203,1.13032,0.94222,0.000369054,0.000369054,0.000369054
32,776.588,0.66043,1.02996,1.05742,0.67718,0.63903,0.69357,0.57223,0.73664,1.09844,0.95331,0.000351056,0.000351056,0.000351056
33,798.131,0.69651,1.0298,1.08231,0.59595,0.7581,0.71176,0.58928,0.72559,1.07696,0.94181,0.000333058,0.000333058,0.000333058
34,820.077,0.69439,1.01703,1.06305,0.60873,0.7643,0.71608,0.59657,0.73344,1.01907,0.94286,0.000315059,0.000315059,0.000315059
35,844.178,0.66206,0.99933,1.06879,0.62257,0.74791,0.70559,0.58269,0.72505,1.09507,0.9336,0.000297061,0.000297061,0.000297061
36,865.715,0.68395,0.9852,1.06929,0.65627,0.7077,0.71272,0.59372,0.72741,1.03864,0.94213,0.000279063,0.000279063,0.000279063
37,889.893,0.67417,0.98549,1.06075,0.65776,0.71074,0.72376,0.59857,0.7414,0.98057,0.95556,0.000261065,0.000261065,0.000261065
38,911.7,0.65503,0.96043,1.0605,0.61737,0.738,0.72677,0.60165,0.70313,0.99022,0.91149,0.000243067,0.000243067,0.000243067
39,933.094,0.66813,0.94797,1.05917,0.64512,0.73765,0.71993,0.6012,0.69678,0.98421,0.91523,0.000225068,0.000225068,0.000225068
