epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.3768,0.63816,0.93553,1.06054,0.6692,0.73741,0.7381,0.61301,0.71994,0.98062,0.92766,0.000297776,0.000297776,0.000297776
2,68.355,0.66048,0.9642,1.05564,0.61316,0.6981,0.71244,0.56279,0.78438,1.19472,1.01161,0.000594828,0.000594828,0.000594828
3,91.1827,0.71331,1.02081,1.09068,0.50674,0.75041,0.62361,0.425,0.98657,1.32334,1.19718,0.000885881,0.000885881,0.000885881
4,110.66,0.73426,1.02169,1.10354,0.62938,0.6943,0.69968,0.57863,0.70597,1.07861,0.92536,0.000882003,0.000882003,0.000882003
5,133.153,0.6993,1.01501,1.0924,0.59333,0.7161,0.69256,0.56759,0.77666,1.16115,1.00035,0.000873004,0.000873004,0.000873004
6,152.766,0.72891,1.04065,1.09816,0.59858,0.65656,0.67335,0.51232,0.83413,1.09024,1.03038,0.000864004,0.000864004,0.000864004
7,171.761,0.72345,1.04115,1.09109,0.61598,0.72819,0.69461,0.55846,0.78324,1.04189,1.04222,0.000855005,0.000855005,0.000855005
8,190.46,0.69116,1.04524,1.08783,0.56477,0.6844,0.63499,0.52094,0.76848,1.12528,1.02197,0.000846006,0.000846006,0.000846006
9,210.636,0.72655,1.02539,1.1028,0.62892,0.75084,0.70758,0.5756,0.76142,1.10045,0.99748,0.000837007,0.000837007,0.000837007
10,229.439,0.69864,1.00513,1.08679,0.56025,0.72866,0.67518,0.53741,0.80849,1.13234,1.0425,0.000828008,0.000828008,0.000828008
11,249.218,0.72652,0.99942,1.08919,0.62756,0.71068,0.71967,0.57885,0.79628,1.08776,1.0441,0.000819009,0.000819009,0.000819009
12,267.763,0.72685,1.00158,1.0828,0.62023,0.67779,0.69563,0.53973,0.836,1.09776,1.03814,0.00081001,0.00081001,0.00081001
13,286.307,0.70293,0.97215,1.09249,0.573,0.71969,0.67937,0.54062,0.77663,1.08914,1.01656,0.000801011,0.000801011,0.000801011
14,306.298,0.70351,0.97904,1.07766,0.539,0.7659,0.70377,0.5665,0.76735,1.17258,0.97235,0.000792012,0.000792012,0.000792012
15,324.924,0.71582,0.98728,1.09167,0.62191,0.65951,0.68639,0.52135,0.89911,1.16295,1.1512,0.000783013,0.000783013,0.000783013
16,344.381,0.68839,0.95919,1.07865,0.63698,0.67544,0.70422,0.57448,0.78581,1.10712,1.0405,0.000774013,0.000774013,0.000774013
17,363.455,0.69014,0.9599,1.08614,0.5966,0.72183,0.71241,0.58607,0.80146,1.0652,1.05958,0.000765014,0.000765014,0.000765014
18,382.412,0.6958,0.93249,1.07643,0.59499,0.69789,0.69866,0.53149,0.85648,1.04093,1.09088,0.000756015,0.000756015,0.000756015
19,402.709,0.69897,0.93313,1.06979,0.56408,0.71263,0.69351,0.55749,0.77655,1.09923,1.02036,0.000747016,0.000747016,0.000747016
20,421.47,0.68152,0.93435,1.07686,0.61852,0.71697,0.71474,0.57719,0.78432,1.04684,1.01271,0.000738017,0.000738017,0.000738017
21,441.839,0.67527,0.95084,1.06983,0.58172,0.74694,0.71106,0.58691,0.73038,0.99163,0.99554,0.000729018,0.000729018,0.000729018
22,460.831,0.68572,0.92444,1.0728,0.57183,0.68865,0.67186,0.53566,0.78225,1.18638,1.0402,0.000720019,0.000720019,0.000720019
23,479.701,0.6944,0.94096,1.07514,0.65368,0.64821,0.70339,0.5511,0.81928,1.01351,1.02423,0.00071102,0.00071102,0.00071102
24,499.374,0.70055,0.92411,1.06782,0.61819,0.74763,0.70904,0.58083,0.75829,0.91857,0.98474,0.000702021,0.000702021,0.000702021
25,518.075,0.64153,0.90392,1.06738,0.6322,0.75561,0.74942,0.61595,0.7382,0.9716,0.96472,0.000693022,0.000693022,0.000693022
26,538.116,0.66221,0.89659,1.06156,0.65847,0.72545,0.71907,0.57661,0.77715,1.05537,1.02996,0.000684022,0.000684022,0.000684022
27,556.602,0.67815,0.90049,1.06725,0.5864,0.76077,0.73373,0.5799,0.80079,1.05627,1.03041,0.000675023,0.000675023,0.000675023
28,575.317,0.67255,0.8863,1.05674,0.66837,0.71245,0.74922,0.61122,0.75351,0.93771,0.9706,0.000666024,0.000666024,0.000666024
29,595.063,0.65935,0.87045,1.05916,0.62189,0.68043,0.70045,0.55225,0.79754,1.04612,0.9785,0.000657025,0.000657025,0.000657025
30,613.503,0.64634,0.8876,1.06637,0.63707,0.70343,0.7328,0.60743,0.73498,0.94864,0.98538,0.000648026,0.000648026,0.000648026
31,633.713,0.68197,0.89087,1.07453,0.6068,0.72567,0.70597,0.56547,0.76915,1.11251,1.0159,0.000639027,0.000639027,0.000639027
32,652.326,0.63816,0.86204,1.04797,0.66501,0.7241,0.72652,0.60544,0.71613,1.07837,0.95134,0.000630028,0.000630028,0.000630028
33,670.984,0.66847,0.85084,1.07334,0.63691,0.67792,0.72205,0.58728,0.75422,1.01357,1.00147,0.000621029,0.000621029,0.000621029
34,690.904,0.67166,0.8491,1.05141,0.65882,0.72595,0.72895,0.60047,0.75283,0.97166,0.99222,0.00061203,0.00061203,0.00061203
35,709.506,0.64728,0.84342,1.06259,0.66706,0.72252,0.72447,0.58584,0.75788,1.05893,0.99542,0.000603031,0.000603031,0.000603031
